Date,Open,High,Low,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,,,,,,
8/28/2023,180.089996,180.589996,178.550003,179.952927,43820700,1.26,1.19,0.07,5.8824,,,,,,
8/25/2023,177.380005,179.149994,175.820007,178.375,51449600,1.26,1.19,0.07,5.8824,,,,,,
8/24/2023,180.669998,181.100006,176.009995,176.147934,54945800,1.26,1.19,0.07,5.8824,,,,,,
8/23/2023,178.520004,181.550003,178.330002,180.881699,52722800,1.26,1.19,0.07,5.8824,,,,,,
8/22/2023,177.059998,177.679993,176.25,176.996811,42084200,1.26,1.19,0.07,5.8824,,,,,,
8/21/2023,175.070007,176.130005,173.740005,175.608643,46311900,1.26,1.19,0.07,5.8824,,,,,,
8/18/2023,172.300003,175.100006,171.960007,174.260422,61114200,1.26,1.19,0.07,5.8824,,,,,,
8/17/2023,177.139999,177.509995,173.479996,173.771072,66062900,1.26,1.19,0.07,5.8824,,,,,,
8/16/2023,177.130005,178.539993,176.5,176.337692,46964900,1.26,1.19,0.07,5.8824,,,,,,
8/15/2023,178.880005,179.479996,177.050003,177.216522,43622600,1.26,1.19,0.07,5.8824,,,,,,
8/14/2023,177.970001,179.690002,177.309998,179.223892,43675600,1.26,1.19,0.07,5.8824,,,,,,
8/11/2023,177.320007,178.619995,176.550003,177.556076,51988100,1.26,1.19,0.07,5.8824,,,,,,
8/10/2023,179.479996,180.75,177.600006,177.496155,54686900,1.26,1.19,0.07,5.8824,,,,,,
8/9/2023,180.869995,180.929993,177.009995,177.715561,60378500,1.26,1.19,0.07,5.8824,,,,,,
8/8/2023,179.690002,180.270004,177.580002,179.321274,67823000,1.26,1.19,0.07,5.8824,,,,,,
8/7/2023,182.130005,183.130005,177.350006,178.37381,97576100,1.26,1.19,0.07,5.8824,,,,,,
8/4/2023,185.520004,187.380005,181.919998,181.505463,115799700,1.26,1.19,0.07,5.8824,,,,,,
8/3/2023,191.570007,192.369995,190.690002,190.661011,61235200,1.26,1.19,0.07,5.8824,,,,,,
8/2/2023,195.039993,195.179993,191.850006,192.067245,50389300,1.52,1.43,0.09,6.2937,,,,,,
8/1/2023,196.240005,196.729996,195.279999,195.089188,35175100,1.52,1.43,0.09,6.2937,,,,,,
7/31/2023,196.059998,196.490005,195.259995,195.926956,38824100,1.52,1.43,0.09,6.2937,,,,,,
7/28/2023,194.669998,196.630005,194.139999,195.308609,48291400,1.52,1.43,0.09,6.2937,,,,,,
7/27/2023,196.020004,197.199997,192.550003,192.705551,47460200,1.52,1.43,0.09,6.2937,,,,,,
7/26/2023,193.669998,195.639999,193.320007,193.982147,47471900,1.52,1.43,0.09,6.2937,,,,,,
7/25/2023,193.330002,194.440002,192.919998,193.104492,37283200,1.52,1.43,0.09,6.2937,,,,,,
7/24/2023,193.410004,194.910004,192.25,192.236801,45377800,1.52,1.43,0.09,6.2937,,,,,,
7/21/2023,194.100006,194.970001,191.229996,191.42897,71917800,1.52,1.43,0.09,6.2937,,,,,,
